Name,Mobile,Bar ID
Adv. Ramesh Pillai,9847034521,K/0894/2004
Adv. Meera Suresh,9846521190,K/1567/2009
Adv. Firoz Khan,9995471122,K/2231/2013
Adv. Anoop Ravindran,9744098765,K/2456/2014
Adv. Divya Menon,9061223344,K/2789/2015
Adv. Sanjay Gopinath,8547665510,K/3012/2016
Adv. Lakshmi Nair,7025889912,K/3345/2016
Adv. Rahul Dev,9633214567,K/3567/2017
Adv. Nithya Balan,9847556677,K/3890/2018
Adv. Vishnu Prasad,8891234509,K/4123/2019
Adv. Aparna Raj,9074561238,K/4456/2020
Adv. Jacob Thomas,9846120934,K/4678/2021
Adv. Shreya Pillai,7736450981,K/4901/2022
Adv. Arjun Krishna,9995012340,K/5234/2023
Adv. Fathima Beevi,9061778820,K/5567/2024
Suresh Kumar,9846778123,
Bindu Rajan,9744551209,
Anil Thomas,9061334455,
Priya Nair,9847665432,
Sameer K.,9072055190,
Reji Varghese,8590112233,
Deepa Mohan,9995778811,
Akhil Krishnan,8089074136,
Manju Latha,9847220098,
Gireesh Kumar,7025664488,
Sneha Raj,9061990012,
Vipin Chandran,9744008821,
Leela Menon,9846334410,
Roy Sebastian,8547112090,
Nimmy Joseph,9995220033,
Hari Prasad,9072889100,
Asha Vijayan,9847009988,
Tom Cherian,7736112244,
Sindhu Rani,9061445566,
Basheer Ahmed,9744330077,
Jyothi Lakshmi,9846778100,
Prakash Menon,8590220044,
Remya Suresh,9995009911,
Nikhil Raj,9072334455,
Sarita Nair,9847110022,
Shalini Dev,9744887766,
Mahesh Pillai,9846001199,
Kavya Menon,7025330099,
Ranjith Kumar,9995112200,
Vineeth Gopu,9061557788,
,9847445566,
Deepa M.,9995778811,
Sujith Nair,98472,
Ayesha Rahman,9846551212,KL/99/20
Manoj Pillai,9847556611,
